"Id","Label","name","description","followers_count","statuses_count","friends_count","created_at","location"
"102803242","USCCareerCenter","USC Career Center","Providing exceptional career services to all members of the #USC Trojan Family.",8988,8319,1225,"Thu Jan 07 22:00:57 +0000 2010","Los Angeles, CA"
"1032744313044664320","Dr_Wanda_Austin","Wanda Austin","Archive of tweets from Dr. Wanda M. Austin, sent during her time as Interim President of @USC. This account is no longer active.",1146,225,92,"Thu Aug 23 21:40:06 +0000 2018","Los Angeles, CA"
"1059724356","JoeySaraceno","Joey Saraceno","@Meta UX Researcher | @USC PhD l @UCLA Alum | he/him 🏳️‍🌈",222,648,243,"Fri Jan 04 06:40:15 +0000 2013","Los Angeles, CA"
"1091603888623370240","EdwardG74882741","Edward Gonzalez","USC POIR PhD Candidate. Student of political philosophy, comparative politics, and international relations. Future professor of international relations.",193,896,248,"Sat Feb 02 07:47:02 +0000 2019","California, USA"
"1110663509862289409","PresidentFolt","Carol Folt","President of the University of Southern California",12383,1872,137,"Tue Mar 26 22:03:10 +0000 2019","Los Angeles, CA"
"112448318","BJPolS","British Jnl Poli Sci","British Journal of Political Science from Cambridge University Press.",18810,7332,1498,"Mon Feb 08 14:52:14 +0000 2010","Cambridge"
"1137637033","AJPS_Editor","AJPS","American Journal of Political Science - AJPS Co-Editors Kathy Dolan and Jennifer Lawless",17873,783,41,"Thu Jan 31 18:42:30 +0000 2013",""
"114865774","USCGouldLaw","USC Gould Law","A top-20 law school, USC Gould offers students a world-class education and unparalleled opportunities.",8615,10537,2808,"Tue Feb 16 21:24:55 +0000 2010","Los Angeles, CA"
"1154264445117325312","RaqCenteno","Raquel Centeno","PhD candidate @uscpoir | partisan polarization + identity + experiments + surveys | @callutheran alum | motherly figure to 1 cat | she/her",341,529,423,"Thu Jul 25 05:37:43 +0000 2019","Los Angeles, California"
"116630713","monkeycageblog","The Monkey Cage (TMC)","Political science for the public. Making sense of the circus that is politics. Newsletter: https://t.co/pryxWj0hdI.",56947,25992,770,"Tue Feb 23 03:53:00 +0000 2010",""
"1170012108","CESRUSC","CESR","We conduct basic and applied research in economics and social sciences.  We also built the Understanding America Study, an 9000+ national online panel",841,585,544,"Mon Feb 11 21:01:26 +0000 2013","Los Angeles, CA-Washington, DC"
"1179203722540273664","shallow__state","Dave Ebner, Ph.D.","Assistant Professor of Political Science @SweetBriaredu 🦊. Ph.D. '20 @uscpoir ✌🏼. Elections, foreign relations, REP, institutions. No one rules innocently.",874,12419,1722,"Wed Oct 02 01:17:37 +0000 2019","Lynchburg, VA"
"1180479770","jaj7d","Jeff Jenkins","Provost Professor of Public Policy, Political Science, and Law @USC. Director @PIPECollab. Editor: @JPIPE_journal @JHPE_journal @BlogBroadstreet. #FirstGen",2292,2957,998,"Thu Feb 14 22:26:28 +0000 2013","Los Angeles, CA"
"119679411","EPSRjournal","European Political Science Review","European Political Science Review (EPSR), a journal from @ECPR and @CambridgeUP",15442,4394,678,"Thu Mar 04 09:44:16 +0000 2010",""
"119682506","InternatlTheory","International Theory","International Theory - A journal of International Politics, Law and Philosophy",14756,4814,732,"Thu Mar 04 10:00:18 +0000 2010",""
"1197448035380318208","uscgpi","USC Global Policy Institute","The @USC Global Policy Institute is a student-run foreign affairs think tank and education center. Follow us for editorial content and programming updates! 🌎",186,357,138,"Thu Nov 21 09:34:15 +0000 2019","Los Angeles, California"
"12044602","Schwarzenegger","Arnold","Former Mr. Olympia, Conan, Terminator, and Governor of California. I killed the Predator. I told you I'd be back. Sign up for my newsletter:",5188665,7750,449,"Wed Jan 09 21:12:40 +0000 2008","Los Angeles, California"
"1222983870","GovInnovations","Innovations in Government Program","The former Twitter account for the Innovations in Government Program @HarvardAsh @Kennedy_School. This account is not actively monitored.",3630,2768,1282,"Tue Feb 26 21:28:24 +0000 2013","Harvard Kennedy School"
"122517396","USCDornsife","USC Dornsife","Official Twitter account of USC Dornsife College of Letters, Arts and Sciences, the academic core of the University of Southern California in the heart of L.A.",11031,16775,2167,"Sat Mar 13 00:25:15 +0000 2010","Los Angeles, CA"
"1228034894195916800","DornsifePhDAcad","Dornsife Ph.D. Academy","Our mission is to prepare Dornsife Ph.D. students to excel at graduate education, stand out among their peers, and become leaders in their chosen professions.",192,188,351,"Thu Feb 13 19:16:35 +0000 2020","Los Angeles, CA"
"1265031758","USCSociology","USC Sociology","A department with a proud history, our faculty includes some of the leading sociologists across multiple/diverse fields. RTs not endorsements. Let's tweet!",1275,1125,906,"Wed Mar 13 17:42:34 +0000 2013","Hazel Stanley Hall 314"
"127119300","Trojan_Knights","Trojan Knights","Official Hosts & Guardians of Tradition of the University of Southern California. Keepers of the Victory Bell. Since 1921. #Knights100",1849,1047,394,"Sun Mar 28 03:38:14 +0000 2010","USC"
"1304501724","thereanders","Therese Anders","Data scientist | @rstudio 2019 intern | PhD @uscpoir | computational social science | Stan | Shiny | data viz | #rstats",540,177,600,"Tue Mar 26 15:27:55 +0000 2013",""
"1327567483","SPSAnews","SPSA","Improving Research and Education in the Field of Political Science. Retweet does not equal endorsement.",3564,283,2770,"Thu Apr 04 18:37:52 +0000 2013","Atlanta , GA"
"1333850392577261568","kamala_project","TheKamalaHarrisProject","The Kamala Harris Project is a diverse group of scholars dedicated to studying the term of America’s first Black /South Asian woman Vice President.",77,24,6,"Tue Dec 01 19:09:42 +0000 2020",""
"13393052","ACLU","ACLU","The ACLU is a nonprofit, nonpartisan, legal and advocacy 501(c)(4) organization. Visit our site for more about us and our affiliated org, the ACLU Foundation.",2001461,60826,5631,"Tue Feb 12 16:27:34 +0000 2008","50 states, DC, & Puerto Rico"
"1346564900160585728","MorrisLevy8","Morris Levy","Associate Prof, Department of Political Science and Intl. Relations, University of Southern California",86,44,98,"Tue Jan 05 21:11:12 +0000 2021",""
"135469780","europsa","EPSA","European Political Science Association",12329,860,53,"Wed Apr 21 11:44:22 +0000 2010","Europe"
"135959346","USCAlumni","USC Alumni Association","Connecting alumni to USC, lifelong and worldwide with tweets about the university and the #TrojanFamily. #USCAlumni #USC #Trojans",17041,8745,1675,"Thu Apr 22 17:04:55 +0000 2010","Widney Alumni House"
"1362094614","USCHistory","USC History Dept. ✌️","USC Department of History. Fight On! Follow for updates on happenings on campus & across the globe. [RT's are not endorsements.] Like us on Facebook!",888,2291,319,"Thu Apr 18 14:45:41 +0000 2013","3520 Trousdale Pkwy, LA, 90089"
"138962573","USCUclub","USC University Club","@USC premiere members-only club, providing great food & service, promoting intellectual, cultural & social interaction among #USCfaculty & #USCstaff.",1435,3619,760,"Sat May 01 04:10:28 +0000 2010","Los Angeles, CA"
"1444380402","GovArnoldUSC","USC Schwarzenegger Institute","Advancing state and global policy not politics as we seek real world solutions to the challenges facing society. Led by former Governor @Schwarzenegger at @USC",16961,2209,1084,"Mon May 20 18:11:11 +0000 2013","Los Angeles, CA"
"14926475","raykwong","Ray 鄺羡華","WSJ caption 🏆 | Space | Clean Energy | US-China | USC | RT/Like ≠ endorsement. Bad tweets written by intern. Jiang Zemin tweets @ link #ENDALZ #NASASocial 🌊",62140,70140,23530,"Tue May 27 22:31:09 +0000 2008","Pacific Rim"
"1510333745768935431","DrBozovic","Iva Bozovic","Assoc. Prof. Teaching @USCPOIR | Political economist  | Interest in social capital, corruption, governance | SOTL, undergraduate data literacy",27,10,41,"Sat Apr 02 19:10:14 +0000 2022","California, USA"
"15442036","SenatorBoxer","Sen. Barbara Boxer","U.S. Senator Barbara Boxer of California.",108614,2229,154,"Tue Jul 15 16:02:13 +0000 2008","Washington, D.C."
"154638135","USCreligious","USC Office of Religious & Spiritual Life","University of Southern California - Office of Religious & Spiritual Life - Fostering a vibrant university community of spiritual reflection & free inquiry.",1332,3716,651,"Fri Jun 11 20:10:02 +0000 2010","Los Angeles, CA"
"15579774","4entrepreneur","Dr. Jay Maharjan","Nevada State-wide Leader, Obama @WhiteHouse initiative @startupamerica, @uscprice alum, Doctorate @usc. Focus: Equity in Education, Practices of SWFs",12602,14063,970,"Thu Jul 24 10:17:00 +0000 2008","Las Vegas, Los Angeles, DC"
"15731032","NicholasNapolio","Nico Napolio","Ph.D. candidate in political science @USCPOIR. I study American political institutions 🏛, bureaucracy 🗄, and legislative politics 📜 || 🏳️‍🌈 || he/him",1348,6564,1129,"Tue Aug 05 02:12:09 +0000 2008","Los Angeles, CA"
"15754281","USATODAY","USA TODAY","The pulse of the nation in the palm of your hand.",4894111,385502,942,"Wed Aug 06 19:55:31 +0000 2008","USA TODAY HQ, McLean, Va."
"15780295","USCPressroom","USC Press Room","We are the USC Media Relations team promoting @USC news, research, innovation and experts. Managed by USC Media Relations: uscnews@usc.edu RTs ≠ endorsements.",6039,3922,2812,"Fri Aug 08 17:16:39 +0000 2008","Los Angeles"
"1593780061","GlimpseSC","Glimpse from the Globe","An online publication providing timely and timeless analysis of international affairs. Created by students at the University of Southern California.",237,762,487,"Sun Jul 14 16:25:32 +0000 2013","Los Angeles, CA"
"1606508916","SuzieMulesky","Suzie Mulesky","Senior Behavioral Scientist at @Vanguard_Group | PhD @USC",411,194,447,"Fri Jul 19 18:45:01 +0000 2013",""
"161475427","USCMarshall","USC Marshall","The official Twitter account of the USC Marshall School of Business, the global business school in the heart of #LosAngeles ✌️",10757,4994,975,"Wed Jun 30 23:28:31 +0000 2010","Los Angeles"
"16196492","NCSLorg","NCSL","Official Twitter Page of the National Conference of State Legislatures. The Bipartisan Voice for Legislators & Staff since 1975. https://t.co/IEmoKtdewE",27433,38376,9269,"Tue Sep 09 02:29:59 +0000 2008","Denver, CO | Washington, DC"
"163640755","USCPRELAW","USC Pre-Law","Trojans, we'll help you get to law school.",537,569,218,"Tue Jul 06 23:04:39 +0000 2010","Los Angeles"
"16503086","jeffreyfields","Jeffrey F","Writer | Foreign policy analyst | Professor of IR | Drinker of wine | Trendsetter | LA Lover | Fmr DoD+State Dept | USC Trojan | Defender of the faith",86,2792,511,"Sun Sep 28 21:29:21 +0000 2008","LA • DC • LA"
"165785792","jasongiannaros","Jason Giannaros, Ph.D.","Prof. at Pepperdine U. Former organizer and US Senate staffer. Wu-Tang Adjacent.",127,1781,461,"Mon Jul 12 14:52:04 +0000 2010","Los Angeles, CA"
"16664681","latimes","Los Angeles Times","Covering the world with a West Coast perspective. Subscribe now: https://t.co/6Kr8lrdkaN",4021597,473029,7040,"Thu Oct 09 11:07:42 +0000 2008","El Segundo, CA"
"17187138","miguelmaria","Miguel Pereira","Political Scientist. 
Assistant Professor @USCpoir.
Incoming Assistant Professor @LSEEI. 
@WUSTL PhD.",1226,933,947,"Wed Nov 05 12:03:52 +0000 2008",""
"17358750","ericgarcetti","Eric Garcetti","Angeleno. Public Servant. Mayor. Not paid for, sponsored by, or hosted by city of L.A. Ads paid for by the DVF. Tweets from Mayor Garcetti signed EG.",317333,6718,2070,"Thu Nov 13 05:36:42 +0000 2008","Los Angeles"
